"","X.3","X.2","X.1","X","day","month","year","time","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag.Text","AvgSpeed","PmlHGV","Class2Volume"
"173",317,317,317,632,5,2,18,"09:00",1083,2,"NB_MID",1,"North",854,0,NA,9478,41,803
"174",318,318,318,633,5,2,18,"09:00",1083,3,"NB_OS",1,"North",913,0,NA,9874,41,871
"175",319,319,319,637,5,2,18,"10:00",1083,1,"NB_NS",1,"North",561,0,NA,13551,50,519
"176",320,320,320,638,5,2,18,"10:00",1083,2,"NB_MID",1,"North",598,0,NA,14692,74,542
"177",321,321,321,639,5,2,18,"10:00",1083,3,"NB_OS",1,"North",507,0,NA,15386,30,489
"178",322,322,322,643,5,2,18,"11:00",1083,1,"NB_NS",1,"North",582,0,NA,13345,65,531
"179",323,323,323,644,5,2,18,"11:00",1083,2,"NB_MID",1,"North",580,0,NA,14716,72,532
"180",324,324,324,645,5,2,18,"11:00",1083,3,"NB_OS",1,"North",497,0,NA,15352,32,475
"181",325,325,325,649,5,2,18,"12:00",1083,1,"NB_NS",1,"North",580,0,NA,13825,53,532
"182",326,326,326,650,5,2,18,"12:00",1083,2,"NB_MID",1,"North",588,0,NA,14638,51,540
"183",327,327,327,651,5,2,18,"12:00",1083,3,"NB_OS",1,"North",523,0,NA,15667,38,496
"184",328,328,328,655,5,2,18,"13:00",1083,1,"NB_NS",1,"North",580,0,NA,13674,57,529
"185",329,329,329,656,5,2,18,"13:00",1083,2,"NB_MID",1,"North",602,0,NA,14434,51,560
"186",330,330,330,657,5,2,18,"13:00",1083,3,"NB_OS",1,"North",489,0,NA,15500,37,466
"187",331,331,331,661,5,2,18,"14:00",1083,1,"NB_NS",1,"North",570,0,NA,13500,79,513
"188",332,332,332,662,5,2,18,"14:00",1083,2,"NB_MID",1,"North",538,0,NA,14797,56,503
"189",333,333,333,663,5,2,18,"14:00",1083,3,"NB_OS",1,"North",498,0,NA,15367,52,471
"190",334,334,334,667,5,2,18,"15:00",1083,1,"NB_NS",1,"North",711,0,NA,12940,48,658
"191",335,335,335,668,5,2,18,"15:00",1083,2,"NB_MID",1,"North",561,0,NA,14461,57,519
"192",336,336,336,669,5,2,18,"15:00",1083,3,"NB_OS",1,"North",525,0,NA,14985,46,495
"193",337,337,337,673,5,2,18,"16:00",1083,1,"NB_NS",1,"North",902,0,NA,11805,35,856
"194",338,338,338,674,5,2,18,"16:00",1083,2,"NB_MID",1,"North",669,0,NA,13812,42,634
"195",339,339,339,675,5,2,18,"16:00",1083,3,"NB_OS",1,"North",731,0,NA,14033,22,708
"196",340,340,340,679,5,2,18,"17:00",1083,1,"NB_NS",1,"North",948,0,NA,11796,23,913
"197",341,341,341,680,5,2,18,"17:00",1083,2,"NB_MID",1,"North",761,0,NA,13139,21,737
"198",342,342,342,681,5,2,18,"17:00",1083,3,"NB_OS",1,"North",794,0,NA,13765,8,783
"199",343,343,343,685,5,2,18,"18:00",1083,1,"NB_NS",1,"North",595,0,NA,13280,24,568
"200",344,344,344,686,5,2,18,"18:00",1083,2,"NB_MID",1,"North",596,0,NA,14087,17,580
"201",345,345,345,687,5,2,18,"18:00",1083,3,"NB_OS",1,"North",607,0,NA,14717,10,600
"202",346,346,346,691,5,2,18,"19:00",1083,1,"NB_NS",1,"North",366,0,NA,14574,16,353
"203",347,347,347,692,5,2,18,"19:00",1083,2,"NB_MID",1,"North",426,0,NA,15489,23,411
"204",348,348,348,693,5,2,18,"19:00",1083,3,"NB_OS",1,"North",388,0,NA,15654,10,384
"205",349,349,349,697,5,2,18,"20:00",1083,1,"NB_NS",1,"North",325,0,NA,15037,31,308
"206",350,350,350,698,5,2,18,"20:00",1083,2,"NB_MID",1,"North",295,0,NA,15733,14,287
"207",351,351,351,699,5,2,18,"20:00",1083,3,"NB_OS",1,"North",236,0,NA,16557,8,234
"208",352,352,352,703,5,2,18,"21:00",1083,1,"NB_NS",1,"North",207,0,NA,15279,29,197
"209",353,353,353,704,5,2,18,"21:00",1083,2,"NB_MID",1,"North",206,0,NA,16262,10,201
"210",354,354,354,705,5,2,18,"21:00",1083,3,"NB_OS",1,"North",141,0,NA,16359,0,141
"211",355,355,355,709,5,2,18,"22:00",1083,1,"NB_NS",1,"North",142,0,NA,15826,35,133
"212",356,356,356,710,5,2,18,"22:00",1083,2,"NB_MID",1,"North",165,0,NA,16350,12,161
"213",357,357,357,711,5,2,18,"22:00",1083,3,"NB_OS",1,"North",69,0,NA,16711,14,67
